geneid	Anp_day3_rep1	Anp_day7_rep1	Anp_day14_rep1	Anp_day3_rep2	Anp_day7_rep2	Anp_day14_rep2	Anp_day3_rep3	Anp_day7_rep3	Anp_day14_rep3	AMn_day3_rep1	AMn_day7_rep1	AMn_day14_rep1	AMn_day3_rep2	AMn_day7_rep2	AMn_day14_rep2	AMn_day3_rep3	AMn_day7_rep3	AMn_day14_rep3	AMp_day3_rep1	AMp_day7_rep1	AMp_day14_rep1	AMp_day3_rep2	AMp_day7_rep2	AMp_day14_rep2	AMp_day3_rep3	AMp_day7_rep3	AMp_day14_rep3	AMnp_day3_rep1	AMnp_day7_rep1	AMnp_day14_rep1	AMnp_day3_rep2	AMnp_day7_rep2	AMnp_day14_rep2	AMnp_day3_rep3	AMnp_day7_rep3	AMnp_day14_rep3
GRIA1	41.64890254386727	33.600144884986506	44.65348915774598	44.904035643165344	29.659355099798702	40.109942132098816	50.911455086989264	34.36700370129216	36.889467771636475	35.96573776432508	77.78760447463152	162.03924631501113	41.39019830338932	80.27533602074935	151.81865385005997	36.74940812016922	79.6847806112793	152.94164947192897	111.54381255237013	210.77319193875206	268.15598385935954	100.43849937445324	181.94921301683024	294.6818880077764	110.42914161228092	175.805077591649	307.05399632835565	58.57852846427044	78.43761056412363	83.9423964150565	62.46883891326082	78.46346716911273	84.42700906010116	53.30961324676621	82.90941350294783	76.72189526298526
RPS6	3082.808529937185	3121.860595893995	2943.19447306052	3209.902267797521	2995.0114940873486	3090.3261773338268	3150.745770796957	2997.1153377698843	2949.7188037869	3693.3598866349976	2704.7763245117962	2558.1094490538035	3599.3930484601774	2664.9351141322163	2699.884443335156	3729.1132884725703	2752.4864521711943	2609.2429769506907	5667.780371234276	5106.639302949239	5255.718507325545	5939.008921872145	4641.991953171479	5037.177963675528	5915.621786872002	4839.75955439852	5173.682721893367	3392.220949587939	2824.1451167343344	2573.7466644906385	3232.9230965237853	2868.544843073297	2503.361371077656	2929.5787808690493	2741.8326572769174	2455.7299036659592
MIR34AHG	83.19184845437273	39.84829650604101	62.687768442021174	58.12050213526886	35.798427684861025	56.61471676513588	70.54199030658451	51.93840146436538	58.61291133910735	361.16514744269546	427.49256484305306	295.64838300457626	397.47857118539287	396.67600738694597	291.31301348363746	387.471673235177	438.4293236092886	286.3162869162293	42.14476234415474	44.40191254561202	53.398878315885426	54.727314335754926	40.54185676132509	53.0287934123884	55.684100969310855	36.56778208101522	45.891271423297795	59.14961731089593	41.15890387450448	45.21788296594499	49.10710784029388	40.56401455687366	53.70651716190404	49.66838900570468	44.05400228377698	60.63527473531246
ADAMTS5	668.4712294023939	1567.2701266152162	2072.98920609123	671.2804119852425	1533.132306086332	1902.8201101622933	603.1849946567862	1445.242103556057	2016.3189111299419	887.3928067566122	959.4738549745265	972.6125954202023	922.268053143111	980.0242172164503	940.2403439519419	898.4650984389297	953.2540967342582	958.3279672618329	508.46751339170186	523.1105669149583	554.3477778058702	599.8355329797859	529.0178481203164	536.8418289341273	528.6645018207269	563.7666282547414	539.0270713596883	711.1992401041045	1131.3614858742033	1472.137057875256	727.0748167732393	1062.1042440991628	1491.8573130606221	676.7772462419083	1131.6940998278367	1531.6936850436596
HIP1	758.110304019389	555.4289513902468	540.7739355999224	760.1610088914796	561.7758005726869	531.7235114152885	719.254071157628	581.3069738110703	517.9291390706268	821.8824149169045	816.9492504922837	715.5532685129731	827.9005948513434	772.5826320860659	727.0933887593569	856.8069242212205	764.0231377965288	662.8722414819521	1243.6370901679095	1251.2414845695498	1154.4716984746592	1126.8867779716657	1342.0123776591124	1181.118369582447	1160.7682219994456	1224.2999575153942	1145.3342429101617	858.5634322764635	839.9053051859718	790.4405019570029	850.9263490434714	885.4078257475581	787.8896829924784	833.6476397700384	834.7394022305651	779.4585173742843
SLC12A4	587.5288920492666	466.6416759963896	466.0351440654318	586.8958474106313	440.2038892155401	436.0451092308192	597.3435162659518	490.63153663631226	446.70766115992274	1184.205327160141	1037.0609870850662	763.1951578986274	1147.9975415706433	986.7734486214489	735.9409570189107	1148.61589590765	913.8924064225596	747.3926341143952	654.9101371140271	498.4010411874517	529.52912013219	614.7997346702756	522.8016820993942	498.8742209350313	613.8586377574579	526.2841702982772	507.79456398229786	498.55096184968426	394.021645545862	312.66844484312924	515.6260839042563	386.97490175198635	344.1751286392924	574.7590933845545	398.8790823620266	338.67399218929904
MAN2B1	854.4729462243378	749.2190046746626	922.4551165521121	931.7092779807879	732.5829441401262	889.7577909761152	877.4534264889261	774.8942085773197	922.2456427453268	1341.5500111654637	1312.5152418638788	1215.6359674752725	1364.7057006012851	1359.4263789055958	1139.633490275289	1361.2250070415032	1348.464580189902	1189.453663675173	832.320013969112	612.7968522450325	608.2345588049019	817.2205424525027	647.0234055982029	611.5260808215488	857.4852717896989	609.5071830425945	569.1127634492753	914.5107117522973	728.0048428711435	764.5236347210283	890.9842329541875	717.5462406570832	740.0181533703461	953.078257139708	722.6802690163674	820.1552043426219
CLSTN2	461.1944289647965	588.1151936433997	568.2983383278489	494.0161343664573	630.0846681352054	545.4243270134004	476.7089424552892	559.0723381274236	538.4191529588694	1197.716681492959	1290.014062037161	1051.2463753312275	1236.340206177663	1263.5357067125321	1068.2114985873473	1210.4960191745301	1350.0578035649432	1043.5771882698582	681.9746787985807	1539.6866846728544	1492.2985890494167	830.4907214418896	1567.1138348881952	1454.406159208006	786.9371968847477	1544.2870727406794	1528.0997982543206	558.5757417991879	886.6680630961994	881.826147175792	511.52411858522964	955.1257278781866	845.4188876105616	571.610276012337	919.2209241814461	823.3284359311608
PURPL	10.481834324574049	10.683296632916315	17.6267636587408	12.966274550370583	12.781999210390014	12.24239607096117	11.593337354533116	10.44029811404087	15.565312986329932	188.67680049780986	301.02035557484055	152.70247542946478	185.988569794304	269.54709100920235	180.6629036520941	179.83660671696714	290.48289238862105	171.4135109147703	10.204789783293272	13.483145132284369	13.486346444187006	10.81099473036963	15.324952505301018	14.777357741728235	13.575477100834588	9.9996913822512	13.655289702474246	8.88867066320858	13.030654377085742	11.695655880647697	11.585180509307886	11.189468242902443	14.902696317868186	18.069331974812997	15.118438596328902	16.482625799666096
EPHA4	620.0811589312138	874.5302882521438	630.2868555607891	637.4678525045045	874.08753078495	576.5075766493371	614.1345536810893	854.7652066328695	561.7477455562515	849.5455344931097	850.9443205633064	683.1001244510884	821.0439288774903	889.522151002246	657.1789860326148	837.0522278900906	841.2246077731978	667.5719453239541	1072.0883605854474	1418.1963002939178	1366.7368072892439	1000.5715709474175	1358.3296346001366	1386.2609776133584	1033.6110559073763	1456.5467602668273	1438.797255205803	926.8842830936849	1112.325292316621	840.8205331163518	940.6395408095843	1100.766970706336	822.1135658869091	981.4841289661399	1187.2376283693786	828.9963646482136
ASAH1	881.2184074959874	956.7486536513443	1512.5808173429386	931.1744784715647	918.9110264906733	1479.7589579289017	888.8822596430604	954.0896274956218	1454.730132098994	831.9348610543374	746.6387875081444	899.5401229031912	824.5258028605753	764.3318319772739	921.8399126131835	804.0107383981285	751.6124677725634	910.3968326159398	713.8450565677991	632.4386223630709	711.0396454242435	731.9387809175986	675.2018972710489	713.6361344703579	718.8889109501043	637.9722849022182	746.9571754839817	961.6732367958131	724.735971630379	1051.7407171592736	961.7990208705908	739.4347649678299	1069.9984285599924	947.1897027846481	743.3447571198378	1023.514217434617
