run	nodes	geneid	community
1	725	PPM1D	2
1	725	VGLL4	2
1	725	MYH9	1
1	725	MFNG	3
1	725	PTCHD4	2
1	725	GDF15	2
1	725	EHD1	2
1	725	FDXR	2
1	725	DINOL	2
1	725	MLF2	1
1	725	LNCTAM34A	3
1	725	ARCN1	1
1	725	XPC	3
1	725	RFPL4B	2
1	725	AREG	2
1	725	MCCC2	2
1	725	PARD6G	2
1	725	TP53INP2	1
1	725	C1orf226	3
1	725	FAS	2
1	725	CKB	1
1	725	RTTN	3
1	725	COPA	1
1	725	EI24	2
1	725	CDKN2B	3
1	725	OTP	2
1	725	DDX3X	1
1	725	PINCR	2
1	725	PLXNB2	2
1	725	TLN1	1
1	725	CAMK2B	2
1	725	ZNF561	2
1	725	GRK2	1
1	725	E2F7	2
1	725	GRB2	1
1	725	TRIM72	3
1	725	PSD3	2
1	725	IGF2R	1
1	725	CCND1	3
1	725	IGFBP3	2
1	725	MMP1	2
1	725	ASAH1	2
1	725	CCNG1	2
1	725	TP53INP1	2
1	725	SPARCL1	2
1	725	IER5	2
1	725	NARF	1
1	725	PRDM1	1
1	725	PPIF	2
1	725	HSDL2	2
1	725	BAX	3
1	725	RBM38	1
1	725	DSP	1
1	725	DBNDD1	3
1	725	GLTP	1
1	725	PTGS2	2
1	725	JUP	1
1	725	PCNA	2
1	725	ADAMTS7	1
1	725	MAFG	3
1	725	LARP1	1
1	725	INSIG1	1
1	725	AKR1B1	1
1	725	TRAK2	2
1	725	ABCG4	2
1	725	OXSR1	1
1	725	TIGAR	3
1	725	JAG2	2
1	725	SEC31A	1
1	725	REEP2	2
1	725	SEMA6A	2
1	725	DPYSL3	2
1	725	SDCBP	1
1	725	RGR	2
1	725	HSPA4L	2
1	725	GDNF	3
1	725	TTL	1
1	711	SERPINF1	1
1	711	CROCC2	1
1	711	MT1F	3
1	711	FKBP4	3
1	711	RGS3	3
1	711	KANK4	3
1	711	ZDHHC22	1
1	711	DLX3	1
1	711	CTSB	1
1	711	APLP2	1
1	711	MIAT	1
1	711	CIT	1
1	711	COTL1	1
1	711	RGS12	1
1	711	TIMP3	1
1	711	SYT6	1
1	711	TMEM132B	1
1	711	RARRES2	1
1	711	CDH15	1
1	711	USP20	3
1	711	VIM	1
1	711	PFKFB3	1
1	711	RNASE1	3
1	711	NR1D1	3
1	711	ELFN2	3
1	711	COL12A1	1
1	711	TTC3	2
1	711	CD44	1
1	711	IGSF8	1
1	711	SHB	1
1	711	ACTN3	1
1	711	ARHGEF12	2
1	711	NSMF	3
1	711	SPEG	1
1	711	BMP7	1
1	711	TNNT2	1
1	711	STC2	1
1	711	SH3RF3	3
1	711	SNHG29	1
1	711	CA9	1
1	711	RCAN2	2
1	711	SSR1	2
1	711	TPT1	1
1	711	NKD1	1
1	711	IQSEC1	1
1	711	SLC6A6	1
1	711	RBP1	1
1	711	DAZL	1
1	711	PTPRU	1
1	711	RPS6	2
1	711	ZHX1	2
1	711	ANXA5	1
1	711	EGFR	1
1	711	NOS1	3
1	711	WHRN	3
1	711	SUN2	1
1	711	FAM131B	1
1	711	EIF3E	2
1	711	PTBP2	2
1	711	FBLN1	1
1	711	PNRC1	2
1	711	CANX	2
1	711	ARNT	2
1	711	SEMA3C	2
1	711	TMEM245	2
1	711	RNF213	1
1	711	GRIK3	3
1	711	SSTR2	1
1	711	TNRC6C	3
1	711	PHGDH	1
1	711	ZNF510	2
1	711	PER3	2
1	711	SERINC5	2
1	711	SCP2	2
1	711	UBE2D3	2
1	711	ID1	1
1	711	TRIM9	3
1	711	ENO3	1
1	711	HIP1	3
1	711	VTA1	2
1	711	KCTD12	2
1	711	NRP2	1
1	711	NDRG1	1
1	711	SHH	3
1	711	LRRC8D	3
1	711	TRIM25	1
1	711	OLFML2B	1
1	711	STK32C	1
1	711	FAIM2	2
1	711	CD81	1
1	711	ZNF395	1
1	711	DSTN	2
1	711	RAN	2
1	711	CASTOR2	2
1	711	CACNA1A	3
1	711	BCAM	3
1	711	TGFBI	1
1	711	SEPTIN4	1
1	711	CHSY1	1
1	711	ATP6V1C1	3
1	711	AFAP1	2
1	711	SH3KBP1	1
1	711	ANKRD33B	2
1	711	RGS2	1
1	711	GPR107	2
1	711	NIPA1	2
1	711	SCN4A	3
1	711	STC1	1
1	711	CASTOR3	2
1	711	CILP2	3
1	711	SPHKAP	3
1	711	MAP2K6	2
1	711	TENM4	3
1	711	H1-0	1
1	711	ATP1A1	1
1	711	SART3	2
1	711	C14orf132	2
1	711	NOTCH1	3
1	711	MBNL2	2
1	711	LAMP2	1
1	711	NPHS1	3
1	711	UNC119	2
1	711	SESN2	3
1	711	SMARCE1	2
1	711	HEY1	1
1	711	TCF7	1
