run	nodes	geneid	local_outdegree_centrality	local_betweenness_centrality	outdegree_centrality	betweenness_centrality	community	community_size	rank_betweenness	rank_outdegree	rank_local_betweenness	rank_local_outdegree
7	632	ETV5	0.011093502377179081	6.288833547153674e-05	0.01584786053882726	0.00015093200513168818	2	126	242.0	198.0	48.0	52.0
7	619	LMX1A	0.1423948220064725	0.0035955374423691207	0.19579288025889968	0.022603892936381802	2	154	8.0	9.0	1.0	2.0
7	619	PRDM1	0.08576051779935276	0.0009519913140627213	0.0970873786407767	0.007757549055089613	2	154	40.0	52.0	14.0	8.0
7	619	ISL1	0.03559870550161812	0.0001442411081913214	0.05663430420711974	0.001125080643892307	2	154	159.0	102.0	44.0	22.0
7	619	KLF7	0.0889967637540453	0.0009808395357009856	0.09870550161812298	0.0033726193660734423	1	183	84.0	51.0	24.0	17.0
7	619	ETV5	0.012944983818770227	2.884822163826428e-05	0.012944983818770227	2.622565603478571e-05	1	183	288.0	202.0	88.0	72.0
7	600	LMX1A	0.1001669449081803	0.0018453274967755622	0.19532554257095158	0.027344905946923802	4	88	5.0	9.0	1.0	1.0
7	600	PRDM1	0.07178631051752922	0.0005695110580063763	0.09181969949916528	0.007668857236978017	4	88	41.0	49.0	7.0	6.0
7	600	ISL1	0.035058430717863104	0.00012283571839353215	0.05509181969949917	0.0015159044338110897	4	88	136.0	97.0	17.0	13.0
7	600	KLF7	0.08180300500834725	0.0012925667640046677	0.09181969949916528	0.0050027638036638546	0	184	63.0	49.0	19.0	18.0
7	600	ETV5	0.01335559265442404	3.350065047096331e-05	0.01335559265442404	3.350065047096331e-05	0	184	269.0	191.0	88.0	73.0
7	589	LMX1A	0.10374149659863945	0.002268539443034454	0.18707482993197277	0.03491754453058907	3	91	2.0	6.0	1.0	1.0
7	589	PRDM1	0.07142857142857142	0.0006779543163091472	0.08673469387755102	0.006478230133620739	3	91	49.0	48.0	7.0	6.0
7	589	ISL1	0.03401360544217687	8.691722003963425e-05	0.052721088435374146	0.0011212321385112819	3	91	153.0	91.0	28.0	14.0
7	589	KLF7	0.0663265306122449	0.0003447716394905492	0.08333333333333333	0.0030218220167112842	1	107	97.0	52.0	21.0	15.0
7	589	ETV5	0.006802721088435374	2.8972406679878083e-06	0.011904761904761904	0.0	1	107	589.0	190.0	54.0	43.0
7	569	LMX1A	0.09683098591549295	0.002589611744541322	0.17605633802816903	0.03660543507961348	3	101	2.0	8.0	1.0	2.0
7	569	PRDM1	0.06866197183098592	0.0009066746155948034	0.08450704225352113	0.009138162307176392	3	101	33.0	46.0	7.0	7.0
7	569	ISL1	0.04401408450704226	0.00021735350373848025	0.051056338028169015	0.0016922522791067392	3	101	127.0	86.0	18.0	15.0
