run	nodes	geneid	local_outdegree_centrality	local_betweenness_centrality	outdegree_centrality	betweenness_centrality	community	community_size	rank_betweenness	rank_outdegree	rank_local_betweenness	rank_local_outdegree
1	650	KLF6	0.1263482280431433	0.0006396355266411764	0.17103235747303544	0.0026893226045768418	0	177	110.0	20.0	24.0	6.0
1	650	MLXIPL	0.05701078582434515	0.0006657916262436036	0.06317411402157165	0.04157155357720329	3	85	2.0	58.0	5.0	4.0
1	650	LMX1A	0.13559322033898305	0.0003352736403583861	0.23112480739599384	0.005801898457265689	2	122	59.0	11.0	20.0	6.0
1	650	HEYL	0.12018489984591679	0.0005373889554680514	0.23266563944530047	0.006320264794841065	2	122	56.0	10.0	13.0	7.0
1	650	HEY1	0.14175654853620956	0.0009035743499020334	0.31432973805855163	0.0075781354029941595	2	122	46.0	5.0	5.0	5.0
1	650	ST18	0.026194144838212637	0.00025680534155110427	0.04160246533127889	0.005457113507960965	0	177	67.0	87.0	40.0	32.0
1	640	KLF6	0.13615023474178403	0.001353996497269931	0.16118935837245696	0.004059536599604594	1	168	89.0	20.0	8.0	9.0
1	640	MLXIPL	0.057902973395931145	0.0010449320794148381	0.06259780907668232	0.012144269307940993	2	86	32.0	54.0	3.0	4.0
1	640	LMX1A	0.11267605633802817	0.0005985056980685927	0.2112676056338028	0.00973062337802503	0	207	40.0	12.0	30.0	16.0
1	640	HEYL	0.13928012519561817	0.0009296461457704781	0.21439749608763695	0.006868098174557621	1	168	60.0	10.0	14.0	8.0
1	640	HEY1	0.18153364632237873	0.0007653023680221349	0.297339593114241	0.007079046904204748	1	168	57.0	5.0	20.0	3.0
1	640	ST18	0.023474178403755867	0.00018641980759513544	0.03599374021909233	0.00943872920560633	5	52	43.0	91.0	6.0	9.0
1	631	KLF6	0.14126984126984127	0.0015999192469780704	0.1619047619047619	0.005026875615110909	1	178	74.0	19.0	7.0	8.0
1	631	MLXIPL	0.05873015873015873	0.001039695157342216	0.06349206349206349	0.011918641330406037	2	85	34.0	52.0	4.0	4.0
1	631	LMX1A	0.09841269841269841	0.00038357685416508946	0.19523809523809524	0.00948848007671537	0	194	44.0	13.0	34.0	16.0
1	631	HEYL	0.1365079365079365	0.001617583970525147	0.2	0.009506144800262448	1	178	43.0	12.0	6.0	9.0
1	631	HEY1	0.18888888888888888	0.0014510308627955686	0.2873015873015873	0.009463244757362405	1	178	45.0	5.0	8.0	3.0
1	631	ST18	0.022222222222222223	0.000267494385141444	0.03492063492063492	0.017101975925505337	5	45	23.0	90.0	4.0	8.0
1	614	KLF6	0.1435562805872757	0.0019485227478702194	0.15497553017944535	0.006410666496070968	1	172	54.0	19.0	3.0	7.0
1	614	MLXIPL	0.05546492659053834	0.0009755941528324217	0.060358890701468194	0.01710488436810287	2	81	24.0	49.0	3.0	3.0
1	614	LMX1A	0.09951060358890702	0.0006530616596829052	0.18760195758564438	0.013487722440797961	0	198	28.0	12.0	23.0	15.0
1	614	HEYL	0.12398042414355628	0.0017406092398895394	0.18760195758564438	0.008817665184616533	1	172	42.0	12.0	6.0	9.0
1	614	HEY1	0.1761827079934747	0.0010742197912335136	0.27569331158238175	0.01178443101003316	1	172	32.0	5.0	17.0	4.0
1	614	ST18	0.017944535073409464	0.0001652645832666944	0.032626427406199025	0.02638902216677862	5	39	16.0	88.0	4.0	8.0
1	599	KLF6	0.13043478260869565	0.0017422676369584823	0.14214046822742474	0.007030694162002879	1	174	58.0	19.0	5.0	7.0
1	599	MLXIPL	0.05518394648829431	0.001025192853901615	0.06020066889632107	0.01631345131454373	2	78	24.0	46.0	3.0	3.0
1	599	LMX1A	0.0903010033444816	0.0003333277311865907	0.17892976588628762	0.008389214747091084	0	192	46.0	13.0	30.0	16.0
1	599	HEYL	0.12040133779264214	0.0019607513599211217	0.1806020066889632	0.008223951418183448	1	174	48.0	11.0	4.0	9.0
1	599	HEY1	0.17725752508361203	0.0008795370385931889	0.2725752508361204	0.008355601866635294	1	174	47.0	5.0	20.0	3.0
1	599	ST18	0.018394648829431436	2.801073371315888e-06	0.033444816053511704	0.005050335288482546	4	38	74.0	78.0	18.0	7.0
1	589	KLF6	0.11904761904761904	0.001344319669946343	0.13605442176870747	0.009166869473513426	0	151	47.0	19.0	6.0	7.0
1	589	MLXIPL	0.052721088435374146	0.0014399286119899408	0.05442176870748299	0.03275910023293815	3	86	10.0	47.0	2.0	3.0
1	589	LMX1A	0.08163265306122448	0.00032738819548262235	0.16326530612244897	0.009494257668996049	2	90	46.0	13.0	10.0	6.0
1	589	HEYL	0.10884353741496598	0.0010227259557996963	0.1717687074829932	0.008007973206318303	0	151	57.0	11.0	10.0	9.0
1	589	HEY1	0.15816326530612243	0.0009589866611039645	0.2585034013605442	0.009085746734809767	0	151	48.0	5.0	13.0	3.0
1	589	ST18	0.01870748299319728	5.794481335975617e-05	0.030612244897959183	0.005814762020651531	5	50	70.0	78.0	14.0	9.0
1	578	KLF6	0.11091854419410745	0.0016879693818601963	0.12305025996533794	0.012023396880415944	0	153	39.0	19.0	6.0	7.0
1	578	MLXIPL	0.05025996533795494	0.0010320383208164837	0.05199306759098787	0.024416883304448297	3	82	22.0	44.0	5.0	3.0
1	578	LMX1A	0.07972270363951472	0.0006890284999037166	0.15077989601386482	0.012923045445792413	1	111	36.0	14.0	5.0	7.0
1	578	HEYL	0.1022530329289428	0.0005927450414018871	0.1629116117850953	0.006435947429231658	0	153	63.0	11.0	17.0	9.0
1	578	HEY1	0.14731369150779894	0.0006138070479491623	0.24263431542461003	0.010594189293279415	0	153	46.0	5.0	16.0	4.0
1	578	ST18	0.019064124783362217	0.00015646062006547274	0.031195840554592718	0.009056662815328326	5	46	53.0	70.0	9.0	9.0
1	572	KLF6	0.09982486865148862	0.0012259194395796847	0.1190893169877408	0.022545856760991793	0	142	16.0	19.0	9.0	8.0
1	572	MLXIPL	0.04903677758318739	0.0011552524042154422	0.05253940455341506	0.023565920054075644	3	72	15.0	40.0	3.0	3.0
1	572	LMX1A	0.07180385288966726	0.0005469014041232679	0.13660245183887915	0.016204258457000645	2	101	27.0	14.0	7.0	7.0
1	572	HEYL	0.09807355516637478	0.00047316188896058005	0.15061295971978983	0.003948136541002243	0	142	77.0	12.0	18.0	9.0
1	572	HEY1	0.14711033274956217	0.0010815128890527543	0.23992994746059546	0.010348111961163855	0	142	41.0	3.0	10.0	3.0
1	572	ST18	0.01926444833625219	0.0002673057424647433	0.028021015761821366	0.01102712999662027	6	46	39.0	71.0	6.0	8.0
1	559	KLF6	0.10215053763440861	0.0019368995450538278	0.11290322580645161	0.014436658236970972	0	157	32.0	19.0	6.0	8.0
1	559	MLXIPL	0.04659498207885305	0.0013899345572479297	0.05017921146953405	0.025459611461812193	4	64	15.0	39.0	2.0	3.0
1	559	LMX1A	0.07526881720430108	0.001074625328983353	0.13261648745519714	0.020006048789276913	0	157	21.0	14.0	11.0	12.0
1	559	HEYL	0.0985663082437276	0.000868709098279956	0.13978494623655913	0.0039059735011550615	0	157	76.0	12.0	18.0	9.0
1	559	HEY1	0.15412186379928317	0.0010263637124122444	0.23118279569892472	0.01620625084457829	0	157	29.0	3.0	14.0	3.0
1	559	ST18	0.023297491039426525	0.003268920162416427	0.023297491039426525	0.01811097597858471	2	99	23.0	77.0	1.0	13.0
1	551	KLF6	0.09272727272727273	0.0012518628912071535	0.10727272727272727	0.009865871833084948	0	142	41.0	17.0	7.0	7.0
1	551	MLXIPL	0.04909090909090909	0.0020036429872495446	0.04909090909090909	0.019271402550091073	3	65	21.0	39.0	1.0	2.0
1	551	LMX1A	0.06545454545454546	9.273058453386322e-05	0.12545454545454546	0.023222387812551745	2	96	17.0	14.0	16.0	7.0
1	551	HEYL	0.08727272727272728	0.0004205994369928796	0.13090909090909092	0.0029243252194071866	0	142	80.0	11.0	22.0	9.0
1	551	HEY1	0.14727272727272728	0.0013412816691505216	0.2290909090909091	0.012376221228680245	0	142	31.0	3.0	5.0	3.0
1	551	ST18	0.016363636363636365	0.00013578407021029972	0.02181818181818182	0.05506209637357178	5	43	3.0	73.0	11.0	8.0
1	519	KLF6	0.07915057915057916	0.0007766816277454575	0.10810810810810811	0.007072283668028349	0	133	54.0	16.0	11.0	6.0
1	519	MLXIPL	0.04826254826254826	0.0023337789295236103	0.04826254826254826	0.02317722530488488	3	69	23.0	40.0	1.0	2.0
1	519	LMX1A	0.07915057915057916	0.0007916178128944087	0.12934362934362933	0.006560719326676774	2	106	59.0	13.0	11.0	8.0
1	519	HEYL	0.07722007722007722	0.00043688341560681984	0.13320463320463322	0.005156717922675369	0	133	70.0	11.0	16.0	8.0
1	519	HEY1	0.11583011583011583	0.0009671179883945841	0.22007722007722008	0.01827442252974168	0	133	30.0	3.0	7.0	4.0
1	519	ST18	0.015444015444015444	0.0001904363606491266	0.017374517374517374	0.07686160877650239	5	34	2.0	82.0	8.0	5.0
1	515	KLF6	0.06809338521400779	0.0009556966345825653	0.09143968871595332	0.004236163257256847	0	133	73.0	18.0	8.0	7.0
1	515	MLXIPL	0.04474708171206226	0.0018393367768751753	0.04474708171206226	0.02686569428326545	3	69	20.0	37.0	2.0	3.0
1	515	LMX1A	0.07003891050583658	0.00022754681775775365	0.11284046692607004	0.004937765945343254	2	102	67.0	11.0	16.0	8.0
1	515	HEYL	0.06031128404669261	0.00028822596915982127	0.10505836575875487	0.0015435259137900957	0	133	103.0	14.0	20.0	10.0
1	515	HEY1	0.11089494163424124	0.0012628848385555327	0.20622568093385213	0.01772210465636638	0	133	33.0	3.0	5.0	4.0
1	515	ST18	0.011673151750972763	0.0001403205376172814	0.013618677042801557	0.08123800638648068	5	34	2.0	91.0	8.0	7.0
1	499	KLF6	0.0823293172690763	0.0010908826452692055	0.09036144578313252	0.005579662715247307	1	141	62.0	16.0	9.0	7.0
1	499	MLXIPL	0.040160642570281124	0.001640364273997398	0.040160642570281124	0.014512779488174024	2	65	38.0	39.0	3.0	4.0
1	499	LMX1A	0.02610441767068273	8.484642796538265e-05	0.09638554216867469	0.0014706714180666327	5	24	102.0	15.0	4.0	1.0
1	499	HEYL	0.07429718875502007	0.0003676678545166582	0.09638554216867469	0.003014068345817879	1	141	81.0	15.0	25.0	9.0
1	499	HEY1	0.1285140562248996	0.0016201627435294497	0.19277108433734938	0.03594256300857353	1	141	11.0	3.0	5.0	3.0
1	499	ST18	0.008032128514056224	5.65642853102551e-05	0.008032128514056224	0.04589383691708484	4	40	10.0	111.0	12.0	9.0
