treatment	run	threshold	component	nodes	edges	sigma	dominating_size	alpha	xmin	exp_r	exp_p	logn_r	logn_p
Anp	1	0.262	positive	493	9489	1.9575640238881495	161	7.297681611215816	89.0	-2.621671860522346	9.152579224305908e-05	-5.542946569524221	0.050402301538781925	
Anp	1	0.264	positive	492	9284	1.9420863983821692	162	6.987145452005183	87.0	-2.925124205823474	1.1817666588237323e-05	-6.83099091217402	0.030870634675916993	
Anp	1	0.266	positive	491	9080	1.9809148585787264	168	6.581390870816767	84.0	-3.407213037466014	4.942737841711825e-07	-8.313430495926093	0.013229338694843188	
Anp	1	0.268	positive	489	8912	1.9920920258153156	166	7.660524723666231	86.0	-1.7680141952318777	0.012155314410129322	-2.973105534271102	0.1697226315932009	
Anp	1	0.27	positive	485	8744	2.013285311306734	164	7.117102771114657	84.0	-2.5728137413709606	8.929776875944836e-05	-5.731586984155823	0.05349979616668734	
Anp	1	0.272	positive	481	8569	2.030380083462313	165	6.279881114819666	79.0	-3.7596100668141283	3.9403538637302054e-07	-9.063006896387932	0.01321591444447621	
Anp	1	0.274	positive	480	8405	2.0013602965383623	167	7.345061158012501	83.0	-2.17856373944579	0.0005412184062597534	-4.664479920499865	0.08700544935455327	
Anp	1	0.276	positive	480	8218	2.0069226735372916	168	6.5467535226654965	78.0	-3.203227008024521	5.916438724463632e-06	-7.637794796424528	0.028628120359665644	
Anp	1	0.278	positive	480	8066	2.0900470153270345	169	7.085056331510808	79.0	-2.4144963431678943	0.0006323770303348323	-5.080534136175686	0.09146127955558331	
Anp	1	0.28	positive	480	7912	2.0564105621906124	174	6.163542862140327	74.0	-3.7442946458614133	9.343755861108379e-07	-8.93978262152055	0.017958026325341922	
Anp	1	0.28200000000000003	positive	478	7771	2.0891598054072658	170	6.449892457432198	74.0	-3.164949393663766	4.027042649377034e-05	-6.8604509772172495	0.04183827051081319	
Anp	1	0.28400000000000003	positive	476	7609	2.1481953959733247	169	6.57164525190286	73.0	-2.9512496085456026	0.0001410906589662408	-6.036126848476929	0.05449660562511278	
Anp	1	0.28600000000000003	positive	474	7473	2.11195529268065	167	5.861050233402015	69.0	-4.204551844062312	3.7645622770209904e-07	-9.64726524777625	0.012488038250608688	
Anp	1	0.28800000000000003	positive	474	7331	2.1502202367980474	163	6.00397316935767	69.0	-3.8268516268779553	1.8652003704598826e-06	-8.626461028845483	0.01914612916873163	
Anp	1	0.29000000000000004	positive	471	7181	2.161798198886515	163	6.584747668103316	70.0	-2.779877269869267	0.00047426487701341736	-5.41518860081156	0.07568784781418847	
Anp	1	0.29200000000000004	positive	468	7022	2.159264047455326	163	5.903869616713027	66.0	-3.7752681217740234	1.5796097770214744e-05	-7.703263983465611	0.029896049797129058	
Anp	1	0.29400000000000004	positive	466	6891	2.1722600798279847	169	5.910542526316336	65.0	-3.7776702414633494	2.4230416765771342e-05	-7.550276863753247	0.03267508093069105	
Anp	1	0.29600000000000004	positive	466	6749	2.203581581626365	175	5.973240140657447	65.0	-3.6861627950292157	6.131845953591577e-06	-8.317097495400276	0.028611139697026562	
Anp	1	0.29800000000000004	positive	465	6602	2.1969816245033993	179	5.711253368027387	63.0	-4.174249921422903	4.78217092973218e-07	-9.685799522183839	0.014996864048491236	
Anp	1	0.30000000000000004	positive	464	6459	2.2689724734197214	183	5.694858409037038	62.0	-4.144717822959432	7.937550296860363e-07	-9.60769480391653	0.017234680170917466	
Anp	1	0.30200000000000005	positive	463	6343	2.2594988692122713	175	5.812056079036124	62.0	-3.8109466674141386	3.0794096139119925e-06	-8.809575413016013	0.02536358284784292	
Anp	1	0.30400000000000005	positive	460	6222	2.280056451714167	171	5.662443305542164	60.0	-3.90283072049236	1.529986816330461e-05	-8.113709446227329	0.03240853515769635	
Anp	1	0.306	positive	456	6110	2.333235645795722	170	4.659990507192864	52.0	-6.54117770102326	5.371505783828592e-07	-11.245742100739005	0.008385820957762868	
Anp	1	0.308	positive	455	5990	2.305900902271835	171	5.279618379620976	57.0	-4.646741876320089	6.505678593874326e-07	-10.300585290019221	0.015705026328249255	
Anp	1	0.31	positive	452	5890	2.3294806823700047	169	4.89728916237522	53.0	-5.518262510277406	1.8096302682326614e-06	-10.123143501932496	0.0131919336437941	
Anp	1	0.312	positive	449	5769	2.2652951970590656	167	5.4958729081894475	56.0	-3.847245710209809	0.00012431833306776277	-7.043905685656257	0.04830237936067262	
Anp	1	0.314	positive	444	5660	2.3320698794665806	163	5.426642576411999	55.0	-3.91435432326338	0.0001026231372312003	-7.271041274883786	0.04708751227975001	
Anp	1	0.316	positive	442	5530	2.3400549571066036	166	4.909942287069857	50.0	-5.307180575167531	1.211784687413922e-05	-8.803673396920452	0.019136650192793155	
Anp	1	0.318	positive	438	5425	2.3141673681017623	162	4.323947408946755	45.0	-7.406248888778781	5.799681264112536e-07	-11.344539207675169	0.00582271843075256	
Anp	1	0.32	positive	436	5315	2.4108197195771166	161	4.813486279824842	48.0	-5.315610780216545	3.243576265498508e-05	-8.301366358436916	0.023340545258181692	
Anp	1	0.322	positive	433	5193	2.412919236645421	159	4.746250168183591	47.0	-5.512694314392262	1.5470768085787653e-05	-8.887585882693152	0.019933615911336224	
Anp	1	0.324	positive	431	5089	2.3859286365341887	161	4.9029841655960755	47.0	-4.832347418741723	0.00012424400956225553	-7.34705753593249	0.03410135011801419	
Anp	1	0.326	positive	429	4998	2.433022758991031	159	4.85192458879615	46.0	-5.120089359282508	3.305831591886268e-05	-8.152144301012235	0.022588284405477835	
Anp	1	0.328	positive	428	4900	2.438513657979707	161	4.8262116287971235	45.0	-4.977237950701522	0.00011274372773483032	-7.47842828905989	0.030299307846547618	
Anp	1	0.33	positive	427	4793	2.4789250166344576	163	4.629312178900242	43.0	-5.65791245110943	2.4740319880173128e-05	-8.601256264470203	0.017572495972957996	
Anp	1	0.332	positive	425	4689	2.5398754882704107	165	4.6015267007591145	42.0	-5.566789277519593	5.684804645532258e-05	-8.092495685587652	0.020836476217408185	
Anp	1	0.334	positive	420	4574	2.4862539467542737	165	4.474934212859759	41.0	-6.087220608714713	6.491231411882226e-06	-9.551353622168936	0.011737744719395505	
Anp	1	0.336	positive	418	4486	2.524376359326531	165	8.983581011676778	58.0	0.1227499520437263	0.8704865712504763	0.0621265617433564	0.9376638463508299	
Anp	1	0.338	positive	414	4377	2.51500975527005	165	4.380792025971363	39.0	-6.183634609033996	1.9771769597817597e-05	-9.214849206047788	0.015962337109211095	
Anp	1	0.34	positive	412	4290	2.6621140412776017	163	8.577492836986746	56.0	-0.33717925382177505	0.6667327724885065	-0.47500477325484036	0.7023742470365373	
Anp	1	0.342	positive	409	4209	2.596291898856617	162	8.850252359675897	56.0	0.10268980582534848	0.8958639816942818	-0.009973585979507593	0.9928414752697119	
Anp	1	0.34400000000000003	positive	408	4120	2.5591955155956807	164	8.707240101195826	55.0	-0.015468736468732036	0.9846377511495463	-0.1312159889368507	0.910107480693739	
Anp	1	0.346	positive	408	4045	2.6163330196227066	164	4.473119755413408	38.0	-5.390758120615608	6.545513748408316e-05	-8.140589529135571	0.02370634976368424	
Anp	1	0.348	positive	408	3962	2.5600838339928487	164	4.403423502105176	37.0	-5.454356726856231	0.00011401692942968273	-7.904539729054433	0.027564264786699412	
Anp	1	0.35	positive	407	3885	2.529472581263277	163	4.18032370447595	35.0	-6.492504290118502	1.0752828477738196e-05	-9.611099800548516	0.012397062569060958	
Anp	1	0.352	positive	406	3807	2.6225709433211812	162	4.242373410614647	35.0	-6.02313311011216	4.664757795695749e-05	-8.783992031015577	0.020791307721337617	
Anp	1	0.354	positive	403	3748	2.587102005424932	161	4.1588080036612975	34.0	-6.453149815656382	2.093278001199587e-05	-9.402004210087618	0.01517545233069789	
Anp	1	0.356	positive	403	3668	2.7651939594555976	165	4.318837789749233	34.0	-5.162057756999805	0.0008051484064602633	-6.568341000497527	0.0423449246477284	
Anp	1	0.358	positive	403	3594	2.763434205492502	164	4.343475125895186	34.0	-5.2480953345378705	0.00033436434626162845	-7.185946668789769	0.03670749603049652	
Anp	1	0.36	positive	400	3505	2.8383085876868552	162	4.332484483155671	33.0	-5.048472540295111	0.0007979169118490159	-6.4329259434483825	0.0425598892845425	
