treatment	run	threshold	component	nodes	edges	sigma	dominating_size	alpha	xmin	exp_r	exp_p	logn_r	logn_p
AMn	1	0.29600000000000004	positive	619	6661	1.1604390657956658	268	2.2068089837097906	12.0	50.808946912873154	9.408207311961001e-06	-2.425456681400931	0.10999644017476884	
AMn	1	0.29800000000000004	positive	617	6530	1.1324890695443985	266	2.2007607678536676	12.0	47.22935228110747	2.2585039058324203e-05	-2.6680545946616814	0.09363878472258085	
AMn	1	0.30000000000000004	positive	614	6402	1.1425453208326541	267	2.2076067326778874	12.0	46.906993643585935	1.8647309254036292e-05	-2.434274455763621	0.10723756307177221	
AMn	1	0.30200000000000005	positive	609	6292	1.1479588901322864	263	2.227520099509432	12.0	50.4600201700511	5.204393610434826e-06	-1.6593042300843468	0.184672140159425	
AMn	1	0.30400000000000005	positive	606	6170	1.1291769308546318	260	2.182634907929725	11.0	49.60105525461698	1.7468716503926455e-05	-2.9264940752748956	0.07975427163884474	
AMn	1	0.306	positive	603	6055	1.1466731046170537	260	2.175238113812674	11.0	46.00130238297423	4.452054720350991e-05	-3.1930739392525522	0.06769211233585422	
AMn	1	0.308	positive	602	5937	1.1390088250525143	263	2.18549790026105	11.0	47.06485371050325	2.744080746900261e-05	-2.6678255748671322	0.09567183005149815	
AMn	1	0.31	positive	599	5836	1.1410990494465443	264	2.1946116521514245	11.0	47.963920990200116	1.8069800666232875e-05	-2.280069268329515	0.12341086853487997	
AMn	1	0.312	positive	595	5715	1.1336969238874561	262	2.217158250096701	11.0	51.6637503332678	4.637816951252034e-06	-1.531833075084645	0.20458357765098467	
AMn	1	0.314	positive	595	5628	1.1444406669910419	264	2.170685040263685	10.0	52.354393479883306	9.594052347422067e-06	-2.730871877669358	0.08939502551369681	
AMn	1	0.316	positive	593	5530	1.130412278640951	266	2.233431692594263	11.0	52.87915901181951	2.1264063799145784e-06	-1.0776945091688157	0.2825324319159691	
AMn	1	0.318	positive	592	5430	1.1354148533140989	270	2.1831688817613806	10.0	52.741785910099836	6.247247158567009e-06	-2.177406037423691	0.128417136703624	
AMn	1	0.32	positive	589	5305	1.1202439788180425	232	2.184861486776123	10.0	50.320036524169595	1.115663438476216e-05	-2.2512623328884285	0.1230973336445551	
AMn	1	0.322	positive	588	5209	1.137160859298196	239	2.186243423000594	10.0	48.89944208535013	1.4240038335872985e-05	-2.231991485575291	0.1243284577990578	
AMn	1	0.324	positive	586	5108	1.1552310512356019	236	2.208148780869321	10.0	52.33436176863674	4.340547827763578e-06	-1.512821613928903	0.20515512195661822	
AMn	1	0.326	positive	584	5009	1.1544200773784443	234	2.196893774508293	10.0	47.52244855564676	1.5245013713395718e-05	-1.8973789041672342	0.1564858800215278	
AMn	1	0.328	positive	579	4921	1.122604575237973	232	2.1607569389951244	9.0	51.24136584293859	1.5573674718898325e-05	-2.7902639732900507	0.08770805063701126	
AMn	1	0.33	positive	578	4833	1.172863486878295	234	2.1665619275823538	9.0	51.45045803227215	1.2433760990935478e-05	-2.4572519697854043	0.10829962768174552	
AMn	1	0.332	positive	574	4746	1.127350503160036	229	2.1587567740156466	9.0	47.80255067838035	2.9569202536411515e-05	-2.7445145352157656	0.0900668459581225	
AMn	1	0.334	positive	574	4661	1.152794328511596	238	2.2044051897944614	10.0	43.32080558105649	3.192694093401033e-05	-1.5827148627941945	0.19595257302097446	
AMn	1	0.336	positive	574	4572	1.145277811177171	243	2.1513167753505416	9.0	42.91536287884552	9.562560914663345e-05	-2.939767323895161	0.07948528226054472	
AMn	1	0.338	positive	573	4480	1.142254366135392	238	2.1709936644967427	9.0	45.683719313552984	3.501490564996233e-05	-2.2359327734365957	0.12335871865959375	
AMn	1	0.34	positive	572	4393	1.1281193115554893	237	2.194888249267059	9.0	49.41765452845057	9.939911156936656e-06	-1.4663322611301242	0.2125258283751812	
AMn	1	0.342	positive	570	4303	1.165776548149873	237	2.19358834431516	9.0	47.63157128630972	1.3672160953985998e-05	-1.437745854821971	0.21731946941512137	
AMn	1	0.34400000000000003	positive	568	4232	1.1916700277030048	238	2.159372300646485	8.0	53.752912192858794	7.129671458402674e-06	-2.0710851178963203	0.140640380912346	
AMn	1	0.346	positive	565	4135	1.1550931297988607	237	2.176534499627046	8.0	55.74055213929667	2.943343271390979e-06	-1.5444544521368986	0.19819761711436923	
AMn	1	0.348	positive	561	4047	1.1693031081042273	237	2.186508756227581	8.0	56.41433402460585	1.8405296920383407e-06	-1.2381444751088866	0.24541357035063882	
