run	nodes	geneid	community
1	543	LMX1A	1
1	543	PRKX	3
1	543	ZNF337	3
1	543	GNS	1
1	543	MTA2	1
1	543	PDE7A	3
1	543	FAT1	3
1	543	EPHA4	1
1	543	ZNF561	1
1	543	NEURL1B	1
1	543	CDK6	3
1	543	FBXW7	3
1	543	CBX5	3
1	543	ARHGAP42	1
1	543	ZNF195	1
1	543	KITLG	1
1	543	PSD3	1
1	543	IFFO2	3
1	543	MAP4K4	1
1	543	HSPA4L	3
1	543	SCRN1	1
1	543	UNC119	1
1	543	UBASH3B	1
1	543	CHST2	3
1	543	GLTP	1
1	543	SIPA1L2	3
1	543	RB1	1
1	543	EGR1	1
1	529	OTX2	3
1	529	CDHR1	3
1	529	VASP	1
1	529	RBM38	1
1	529	GUCY1A2	3
1	529	PAG1	3
1	529	PRDM1	1
1	529	CHRNB4	3
1	529	TNFRSF21	3
1	529	B4GALNT4	3
1	529	ADAM19	1
1	529	CEBPA	1
1	529	PADI2	1
1	529	SSTR2	1
1	529	PHLDA1	1
1	529	RGR	1
1	529	PXDN	1
1	529	NEFH	3
1	529	ANKRD13B	3
1	529	MFNG	3
1	529	SMARCC1	1
1	529	ISL1	3
1	529	ST6GALNAC5	3
1	529	KIAA0040	3
1	529	CBFA2T2	1
1	529	PRRX1	1
1	529	CD164	1
1	529	TLN1	1
1	529	WASF2	1
1	529	PRR35	3
1	529	SOX8	1
1	529	RGS2	1
1	529	IGDCC3	1
1	529	JAG2	3
1	529	HCN2	3
1	529	CACNA1H	3
1	529	NR4A1	1
1	529	TCF3	1
1	529	PPIF	1
1	529	FNDC5	1
1	529	RASSF3	1
1	529	DBNDD1	3
1	529	RHOB	1
1	529	ROBO1	3
1	529	ADGRA1	3
1	529	RASGEF1B	3
1	529	PTBP1	1
1	529	IQGAP1	1
1	529	TRAK2	3
1	529	GNG5	1
1	529	FBLIM1	1
1	529	GNB3	3
1	529	PTTG1IP	1
1	529	NPNT	3
1	529	TENT5A	1
1	529	CAMK2B	3
1	529	DOCK11	1
1	529	SLC36A1	3
1	529	MYH9	1
1	529	GUCY1A1	3
1	529	HEYL	3
1	529	DGKH	3
1	529	FBXL16	3
1	529	ANTXR2	1
1	529	VAV2	1
1	529	RBMS1	1
1	529	TRIB2	3
1	529	SYN2	3
1	529	PPP2R1B	1
1	529	INAVA	3
1	529	GLRX	1
1	529	TGFB2	3
1	529	GAB1	3
1	529	ADAMTS7	1
1	529	SLAIN1	3
1	529	SGPL1	1
1	529	CDKN2B	3
1	529	ZNF611	1
1	529	CHSY1	1
1	529	LDLR	1
1	529	EPS8L2	3
1	529	CDH2	3
1	529	IQSEC1	1
1	529	PCNX1	1
1	529	GDPD5	3
1	529	LGR5	3
1	529	AP3M1	1
1	529	RHOA	1
1	529	BTN2A1	1
1	529	ITGB1	1
1	529	PCSK1	3
1	529	ANKRD65	3
1	529	PRKCD	1
1	529	CDC42SE1	1
1	529	CLCN5	3
1	529	NPTX1	3
1	529	IGFBPL1	3
1	529	CNN3	1
1	529	TUBB4B	3
1	529	DSP	1
1	529	ST18	3
1	529	PEG10	3
1	529	LRP8	3
1	529	RIMS3	3
1	529	VGLL4	1
1	529	PALLD	3
1	529	KLF7	3
1	529	BVES	1
1	529	SUSD6	1
1	529	DDX3X	1
1	529	FAM167A	1
1	529	SYBU	3
1	529	TXNRD1	1
1	529	ACTA2	3
1	529	AKAP13	3
1	529	CEMIP2	1
1	529	PENK	1
1	529	HEY1	1
1	529	OXSR1	1
1	529	SPATS2L	1
1	529	ZNF217	1
1	529	IGF2BP2	3
1	529	NRBP1	1
1	529	LRRC8D	3
1	529	SNHG1	1
1	529	CXCL1	1
1	529	ATP5MC3	3
1	529	PFKFB3	1
1	529	GRB2	1
1	529	NARF	3
1	529	KANK4	3
1	529	FADS1	3
1	529	SNX18	3
1	529	CHRNA1	1
1	529	CHD7	3
1	529	ACLY	1
1	529	CDC42EP3	1
1	529	DAZL	1
1	529	MAFG	1
1	529	KLF6	1
1	529	LAMP2	1
1	529	SLC39A10	3
1	529	PSME4	1
1	529	GRB7	3
1	529	ZC3H12C	3
1	529	SDCBP	1
1	529	E2F3	1
1	529	HMOX1	1
1	529	LIMK2	1
1	529	STK32C	3
1	529	GRK2	1
1	529	CKB	1
1	529	TMSB4X	1
1	529	SERTAD2	1
1	529	RBM24	1
1	529	SLC7A1	1
1	529	H1-0	1
1	529	DPP4	1
1	529	PDLIM5	1
1	529	POR	1
1	529	ULK1	1
1	529	KAT6A	1
1	529	TP53INP2	1
1	529	RPN2	1
1	529	TMEM169	1
1	529	GRIA4	3
1	529	HES6	1
1	529	ANXA5	1
1	529	XRCC5	1
1	529	ASXL3	3
1	529	ASAP1	1
1	529	ITPRIPL2	1
1	529	ENO3	1
1	529	SYNJ2BP	1
1	529	MFSD14A	1
1	529	ADGRE5	1
1	529	SEPTIN4	1
1	529	FLRT2	3
1	529	USP14	1
1	529	C12orf45	3
1	529	ACTR1A	1
1	529	HYOU1	1
1	529	NCOA4	1
1	529	KIFAP3	3
1	529	BTG2	1
1	529	OPRD1	1
1	529	RAB31	1
1	529	OSBPL8	3
1	529	TOB1	1
1	529	H2BC21	1
1	529	GPC1	3
1	529	KIF1C	1
1	529	ATP2A2	3
1	529	KIAA1958	3
1	529	LMX1A	1
1	529	PRKX	3
1	529	ZNF337	3
1	529	GNS	1
1	529	MTA2	1
1	529	PDE7A	3
1	529	FAT1	3
1	529	EPHA4	1
1	529	ZNF561	1
1	529	NEURL1B	1
1	529	CDK6	3
1	529	FBXW7	3
1	529	ARHGAP42	1
1	529	ZNF195	1
1	529	KITLG	1
1	529	PSD3	1
1	529	IFFO2	3
1	529	MAP4K4	1
1	529	HSPA4L	3
1	529	SCRN1	1
1	529	UNC119	1
1	525	OTX2	3
1	525	CDHR1	3
1	525	VASP	0
1	525	RBM38	0
1	525	GUCY1A2	3
1	525	PAG1	3
1	525	PRDM1	0
1	525	CHRNB4	3
1	525	TNFRSF21	3
1	525	B4GALNT4	3
1	525	ADAM19	0
1	525	CEBPA	0
1	525	PADI2	0
1	525	SSTR2	0
1	525	PHLDA1	0
1	525	RGR	0
1	525	PXDN	0
1	525	NEFH	3
1	525	ANKRD13B	3
1	525	MFNG	3
1	525	SMARCC1	0
1	525	ISL1	3
1	525	ST6GALNAC5	3
1	525	KIAA0040	3
1	525	CBFA2T2	0
1	525	PRRX1	0
1	525	CD164	0
1	525	TLN1	0
1	525	WASF2	0
1	525	PRR35	3
1	525	SOX8	0
1	525	RGS2	0
1	525	IGDCC3	0
1	525	JAG2	3
1	525	HCN2	3
1	525	CACNA1H	3
1	525	NR4A1	0
1	525	TCF3	0
1	525	PPIF	0
1	525	FNDC5	0
1	525	RASSF3	0
1	525	DBNDD1	3
1	525	RHOB	0
1	525	ROBO1	3
1	525	ADGRA1	3
1	525	RASGEF1B	3
1	525	PTBP1	0
1	525	IQGAP1	0
1	525	TRAK2	3
1	525	GNG5	0
1	525	GNB3	3
1	525	PTTG1IP	0
1	525	NPNT	3
1	525	TENT5A	0
1	525	CAMK2B	3
1	525	DOCK11	0
1	525	SLC36A1	3
1	525	MYH9	0
1	525	GUCY1A1	3
1	525	HEYL	3
1	525	DGKH	3
1	525	FBXL16	3
1	525	ANTXR2	0
1	525	VAV2	0
1	525	RBMS1	0
1	525	TRIB2	3
1	525	SYN2	3
1	525	PPP2R1B	0
1	525	INAVA	3
1	525	GLRX	0
1	525	TGFB2	3
1	525	GAB1	3
1	525	ADAMTS7	0
1	525	SLAIN1	3
1	525	SGPL1	0
1	525	CDKN2B	3
1	525	ZNF611	0
1	525	CHSY1	0
1	525	EPS8L2	3
1	525	CDH2	3
1	525	PCNX1	0
1	525	GDPD5	3
1	525	LGR5	3
1	525	AP3M1	0
1	525	RHOA	0
1	525	BTN2A1	0
1	525	ITGB1	0
1	525	PCSK1	3
1	525	ANKRD65	3
1	525	PRKCD	0
1	525	CDC42SE1	0
1	525	CLCN5	3
1	525	NPTX1	3
1	525	IGFBPL1	3
1	525	CNN3	0
1	525	TUBB4B	3
1	525	TES	0
1	525	JUP	0
1	525	DSP	0
1	525	ST18	3
1	525	PEG10	3
1	525	LRP8	3
1	525	RIMS3	3
1	525	VGLL4	0
1	525	PALLD	3
1	525	KLF7	3
1	525	BVES	0
1	525	DDX3X	0
1	525	FAM167A	0
1	525	EDNRA	3
1	525	SYBU	3
1	525	TXNRD1	0
1	525	ACTA2	3
1	525	KPNA2	0
1	525	AKAP13	3
1	525	CEMIP2	0
1	525	PENK	0
1	525	HEY1	0
1	525	OXSR1	0
1	525	SPATS2L	0
1	525	ZNF217	0
1	525	IGF2BP2	3
1	525	NRBP1	0
1	525	LRRC8D	3
1	525	SNHG1	0
1	525	CXCL1	0
1	525	ATP5MC3	3
1	525	GRB2	0
1	525	NARF	3
1	525	KANK4	3
1	525	FADS1	3
1	525	SNX18	3
1	525	CHD7	3
1	525	ACLY	0
1	525	CDC42EP3	0
1	525	DAZL	0
1	525	MAFG	0
1	525	KLF6	0
1	525	LAMP2	0
1	525	SLC39A10	3
1	525	PSME4	0
1	525	GRB7	3
1	525	ARFGEF1	3
1	525	ZC3H12C	3
1	525	SDCBP	0
1	525	E2F3	0
1	525	SVIL	3
1	525	LIMK2	0
1	525	STK32C	3
1	525	GRK2	0
1	525	CKB	0
1	525	TMSB4X	0
1	525	SERTAD2	0
1	525	RBM24	0
1	525	SLC7A1	0
1	525	DPP4	0
1	525	PDLIM5	0
1	525	POR	0
1	525	ULK1	0
1	525	KAT6A	0
1	525	TP53INP2	0
1	525	RPN2	0
1	525	TMEM169	0
1	525	GRIA4	3
1	525	HES6	0
1	525	ANXA5	0
1	525	XRCC5	0
1	525	ASXL3	3
1	525	INKA2	3
1	525	ASAP1	0
1	525	ITPRIPL2	0
1	525	ENO3	0
